Date,AAPL,ABBV,ADBE,AMT,AMZN,APD,AXP,BA,BAC,BLK,CAT,CCI,COP,COST,CRM,CSCO,CVX,DIS,DUK,ECL,GOOGL,GS,HD,HON,INTC,JNJ,JPM,KO,LIN,LLY,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PLD,SBUX,SHW,SLB,SO,UNH,UPS,XOM
2018-01-03,-0.0001739624742688184,0.015648663513631034,0.01879570284327836,0.0038969869852472083,0.012775310383486449,0.005437959948552562,0.0061654284299157425,0.003234112807848355,-0.0033446247870272394,0.01055086308337283,0.0015282703332162306,-0.004223394455674656,0.01843802206755263,0.012000783142087856,0.008428331631282537,0.007976962072265392,0.007289739378383953,0.004293236645789511,-0.0031239779751378594,0.006468381022481706,0.017060926196307724,-0.009309077257717013,0.005212139732532206,-0.008262233904122618,-0.0339383476112306,0.009552500836370825,0.0010190980368247615,-0.002195944903989111,0.008387579841352188,0.005431923709624531,-0.004214128557157082,0.01791418386000121,-0.0014233060099667627,0.0026825417893756587,0.00465393881324605,-0.02121356857193235,0.019794042018585145,-0.00015747512295116728,0.06581370203646242,-0.0026258971863971636,0.007409555994112749,-0.0012137887915311119,-0.0018745200353438296,0.018740206011382154,0.0040129050186672455,0.02603544362793575,-0.005723643841879844,0.010489966397400075,0.022155795155343716,0.019640145983737867
2018-01-04,0.004644602783940632,-0.0057029113067027515,0.012041582055987154,-0.014610547888439962,0.004476012896857506,0.00384548977584509,0.016632899077513974,-0.003794249215020029,0.013087523082481178,0.013201453868266544,0.013733907865988826,-0.01161568680755265,0.011537426174905052,-0.007765755242157724,0.013201560729841688,0.0028295934852384796,-0.0031125718861432228,-0.0004451171103546647,-0.007834065757092556,0.008126082276090685,0.0038844229481034276,0.013976063600125599,0.007935841306072833,0.013513583655841765,-0.018338379526828152,-7.095698526149441e-05,0.014325849813076053,0.014084781999694762,0.015682226167320845,0.00446369784000078,0.00701488608107903,-0.0018411435159254586,0.016209451000457564,0.015287653673491608,0.008801531628840342,-0.005138304268835769,0.002828606044821047,-0.0006303348073092296,0.005271193917024908,0.0049256641003554424,0.002179226502902809,0.007069005086360658,-0.020034159852479916,0.0037471477286752375,-0.005441496324920636,0.02481416950935067,-0.0042643745980617265,0.0043403824566623506,0.006486823388155871,0.0013842667719325963
2018-01-05,0.011385862045018902,0.017408200919420747,0.011570762488063657,0.006446714237147377,0.016162516530176196,0.008381019002657863,0.002280652174059483,0.04102181326951859,0.0046373263753247684,0.00851982322893563,0.01580511232591042,0.0076485766333720395,-0.0019303616779143828,-0.0071392414058866205,0.013310768333187895,0.013849688673720273,-0.0016389475639553286,-0.0054353654923406935,-0.004616126891209604,0.00520219058237581,0.01326024090650968,-0.005100627864969787,0.010445847273353959,0.006990413917141947,0.006977233911968916,0.008253292381879218,-0.006419804829857045,-0.00021732053195622214,0.00875179075320176,0.012277560219794648,0.002014650980154853,0.01367115102223071,-0.0010515653863537588,-0.0003766498386920114,0.012398044251636708,0.004568844505508762,0.021203172192687525,0.008512103992445397,0.008474302295297775,0.0028734371390441993,0.0019026470974128351,0.0006578395075744758,-0.0007989936667099906,0.011539017384199157,0.02072144763132089,0.006839775353391753,0.0017130549472268441,0.0190689238483448,0.003065218731760133,-0.0008065162122131708
2018-01-08,-0.003714798019445187,-0.016022572632450105,-0.001618663308975532,0.01067532284543482,0.014424678832250848,0.0010688519827628529,-0.009200739863529428,0.004241756368544847,-0.006924110222529922,0.007458226144988256,0.02512926913184832,0.002962024787033446,0.010197096387052351,0.003888359537008279,0.007030678075651053,0.01037137945939226,0.004925424827887825,-0.01433444275427509,0.0031732897402978466,-0.003499083965080363,0.0035306058821491515,-0.014519327705329377,-0.002389573678618695,-0.0053994173120234246,0.0,0.0012699736104546666,0.0014767550348937508,-0.0015192210018343255,-0.000372042421443175,-0.005082765149970414,-0.0006893091773417792,0.0076532170145087175,-0.005790647854457487,-0.00414241461742737,0.0010205414969612914,0.008239557250745433,0.009809960902941839,0.008909199880331231,0.030640871311832685,-0.005730076871391598,-0.011123195472703129,0.00526102577564358,0.011669110201569577,-0.0050323212759059155,0.005549555131437289,0.016304299703754355,0.00897821548219535,-0.017356614141810556,0.012145229578546024,0.004495907293342372
2018-01-09,-0.00011417953680137316,0.007538990830430636,0.008971053406505725,-0.006760091121124412,0.0046757095740346255,0.002549842349697906,0.0036944085511985136,0.026696745354256146,0.004979947641383875,0.008404636865259274,0.002409711258156033,-0.006183794935643028,0.008179332974524556,-0.01161935339218556,0.0026640726787627855,-0.0062592189307281165,-0.005368351034671703,-0.0007270796744884844,-0.011679044876732325,-0.00029239076496134775,-0.001274469415806334,0.008458808248163141,0.00551986026703144,0.008207626111545796,-0.025033318511563873,0.01585764435298387,0.005069362863597826,0.004999566102886099,0.009733315926145458,-0.0008124142008723023,-0.0022423056709217626,-0.0021775635644771807,0.0024708751686601804,0.007751982997898033,-0.0006795104021599663,-0.007322220018536663,-0.012921488744754073,-0.007126219035269998,-0.0002705563530046584,0.000762618604443821,-0.0010972655978068735,-0.007304938389335214,-0.010112231278888939,-0.002192138669014687,0.0004951200701022174,0.0013373301360977141,-0.012500428592912782,0.004983063075280292,-0.0004644959779591673,-0.004246460827258325
2018-01-10,-0.00022960096007806907,-0.005487340350875725,0.0021960560729041845,-0.0243884123320518,0.0013012055442500614,-0.004199675249382473,0.0069638592551206635,0.005746780817206476,0.009250297373591954,-0.004438851046239423,-0.0033646978497828828,-0.02563162562570298,-0.004833519280924681,-0.004670046486250912,-0.0032065610693743363,0.005542840405432958,0.006414298355309933,-0.004274938510783199,-0.013909714677572071,-0.011268810025682252,-0.0023813771866014743,0.001535594658941486,-0.006732271631567199,0.006922239910593264,-0.02567607589763654,-0.001179568534335651,0.011004158985066237,-0.0034607314014469814,-0.0015965268240063502,0.00046477138000877716,-0.00017302038333721903,-0.00015970359798045397,0.008802946195119787,0.011820183074410906,-0.004534092112847388,-0.00823206989713876,0.015336154823019532,0.0020283428972915907,0.007840175246988546,-0.005081276778734156,0.0016477464203970005,-0.006370107711801132,-0.019313725527759784,0.01081452321386478,-0.011031928265179625,0.009345714883447043,-0.01394485131076395,-0.007437842408267059,0.005266951041351442,-0.007951758777038465
2018-01-11,0.005679882963615768,0.002929978435436853,0.009673441038370756,-0.019185052455363394,0.01781828254348916,0.009622847662175582,-0.004840888826689649,0.024542711994123056,0.003600558904939044,0.011945869518460217,0.0200756853590629,-0.011723019869864015,0.026539805213723344,0.021356990745398985,0.0027571703498612266,0.004761013200982989,0.030390169786674637,0.01388501855255253,-0.01036062416602368,0.01413561019259868,0.0017206052017975093,0.0031455713178358824,0.015015479439516755,0.005283823903990514,0.021411262868697323,0.005695713187475082,0.005351429993089241,-0.0006510335880273166,0.00731767442252762,0.0033680021394555393,-0.000691667850919786,-0.0003726739602257778,0.005235606334379028,0.0050061358654895916,0.00296034674750012,-0.0005978866539587679,0.022209679282373163,0.0010901266786162989,0.0017882648846450078,-0.005107479114802915,0.0024680335632092376,-0.003537131641949798,0.0034180371216818717,0.0030091746316269763,0.01389636227122204,0.019179759884245806,-0.015448525310988503,0.005307944915923013,0.028276498799600924,0.00987447878530845
2018-01-12,0.01032655745048694,0.010778721562814564,0.03244762302681492,-0.01459550837086554,0.022339231610462695,0.0010587479705421732,0.0023826020476214183,0.02465543100695422,0.01728658799675764,0.03273732889224901,0.006501124575585937,-0.0011575506253785894,0.014701016634536712,0.012989636152770379,0.010449175314326764,0.019201946093001965,0.007769413952080528,0.013334574815506706,-0.004793268141530138,0.004743645042164735,0.016725901178171743,0.007447458296859333,0.008937722942375492,0.007282035227908601,-0.003915761715515664,0.006699298688177313,0.016509997922156128,0.0023891777952897986,0.0020758482695453218,0.006829815393638361,0.001038273261351419,-0.04473550022367134,0.018402709055227895,0.01697432121693021,0.017257222870971756,-0.0011962395856789376,0.018366702421403813,0.005910715159012092,-0.004908820813923631,0.004278110857182771,-0.000547181413414477,-0.00598967603098266,0.003243951086790098,0.0066665777779471025,0.017585179716022914,0.011940493009588993,-0.009060588770068212,0.014419595408303287,0.004720392337266954,0.006786967885328954
2018-01-16,-0.0050823325349655946,0.02142709062653836,-0.013278627517905539,0.019774624945859465,-0.0002605871874575838,-0.019982287886877836,-0.006239674488920266,-0.003122852782736385,0.0016031835089249657,0.013446468113314847,-0.005813059204101356,0.016897135280092623,-0.020150286655790883,-0.0016160402506831817,-0.012245934955790294,-0.00807403245938143,-0.011901015349149668,-0.015826365199988257,-0.00608325699249912,-0.004793675199795011,4.401906440509862e-05,0.005563369294254716,-0.0005598981298832184,-0.0074179691127834735,-0.002312895487893929,0.007546552094171544,-0.0035501742576992124,0.00823390940585278,-0.012488834994841214,-0.019429854582743378,0.0006336229946382055,-0.005463463750624453,0.058131677130445425,-0.009434037355851688,-0.013951204375660664,0.0014635168820669175,0.0013560858718164592,-0.01932903115112894,-0.012871584490052546,0.004089246517271272,0.0016421236770640668,0.006807047493224916,0.004688702156686597,0.002649001810706375,-0.020723567829377343,-0.010260322513979014,-0.004014315314515793,0.018631792251709633,-0.009023852764933893,-0.0062839898267768035
2018-01-17,0.016516291705524377,0.018245725182352457,0.020939408909448565,0.007446462968067502,-0.00755630863716783,0.010854515607666926,0.004185929868979921,0.04729088222190403,-0.001920785368036082,0.023996802450442667,-0.004784476901388168,0.00674123561369222,0.01733551100149766,0.003967884382065856,0.010561162644131539,0.016280042855305377,0.0026512089196151223,0.011563727050948547,-0.00012765621555121953,0.0029922237202795188,0.0074290977291788796,-0.01861050750103299,0.017879736640588062,0.0032935462542476035,0.028975425881965222,0.0008169158924031805,0.006413284075452941,0.006232555834040809,0.008389807689794804,0.010786450650249302,0.007485148172934997,-0.004428816392913815,-0.000644456375129776,0.013736288264736718,0.020260473110443433,0.008901308105873751,-0.018191661632751766,0.006149448497102528,0.020944256405200923,0.011199692446877796,0.01584669589959642,0.010862165934266255,0.011586896002866665,0.001651176476449523,0.007242915038566,0.0005182655936952774,0.008732400295449194,0.023743974051557926,0.008504093186126882,0.011842903941293503
