Date,AAPL,ABBV,AMZN,COST,CVX,GOOGL,HD,JNJ,JPM,KO,LLY,MA,MRK,MSFT,PEP,PFE,PG,UNH,V,XOM
2018-01-02,40.304168701171875,69.34369659423828,59.45050048828125,168.72833251953125,89.45237731933594,53.258094787597656,154.82107543945312,110.76416778564453,86.34088134765625,35.492740631103516,75.02669525146484,145.05812072753906,41.901573181152344,78.87036895751953,92.42118835449219,23.830411911010742,72.82498931884766,194.5915985107422,108.11190795898438,58.5804328918457
2018-01-03,40.297157287597656,70.42884826660156,60.209999084472656,170.7532501220703,90.10442352294922,54.16673278808594,155.62799072265625,111.82227325439453,86.42886352539062,35.41477966308594,75.43426513671875,146.8820343017578,41.84194564819336,79.23741912841797,92.17848205566406,24.00698471069336,72.73660278320312,196.63284301757812,109.18819427490234,59.73093032836914
2018-01-04,40.48432922363281,70.02719116210938,60.47949981689453,169.42723083496094,89.82398986816406,54.377140045166016,156.8631134033203,111.81430053710938,87.6670150756836,35.91358947753906,75.77095794677734,148.78224182128906,42.520179748535156,79.93482208251953,92.63255310058594,24.05930519104004,73.25077819824219,197.4863739013672,109.59416961669922,59.81361389160156
2018-01-05,40.94525146484375,71.24624633789062,61.457000732421875,168.21763610839844,89.67672729492188,55.09819412231445,158.50161743164062,112.73713684082031,87.10424041748047,35.905792236328125,76.70125579833984,151.86654663085938,42.47545623779297,80.92585754394531,92.89873504638672,24.10508155822754,73.29896545410156,201.25221252441406,112.21885681152344,59.76539993286133
2018-01-08,40.793190002441406,70.10472869873047,62.34349822998047,168.87171936035156,90.11845397949219,55.292720794677734,158.1228485107422,112.8803482055664,87.2328872680664,35.85124588012695,76.31141662597656,152.3255615234375,42.22951126098633,81.0084457397461,92.36637115478516,23.836956024169922,73.68460083007812,197.7591552734375,112.67202758789062,60.03407669067383
2018-01-09,40.78849411010742,70.6332015991211,62.6349983215332,166.9095458984375,89.63468170166016,55.22225570678711,158.99560546875,114.67033386230469,87.67505645751953,36.03050994873047,76.2493896484375,152.54559326171875,42.33385467529297,80.95340728759766,92.43684387207031,23.8107967376709,73.14632415771484,198.74456787109375,112.45489501953125,59.779170989990234
2018-01-10,40.779136657714844,70.24565887451172,62.71649932861328,166.13006591796875,90.20964050292969,55.09075164794922,157.92526245117188,114.53507995605469,88.63984680175781,35.905792236328125,76.2848129272461,152.88992309570312,42.70650100708008,80.5863265991211,91.9671401977539,23.85003089904785,72.68035888671875,197.2664337158203,112.3321533203125,59.30380630493164
2018-01-11,41.010772705078125,70.45146179199219,63.83399963378906,169.67808532714844,92.95109558105469,55.18553924560547,160.29661560058594,115.18743133544922,89.11420440673828,35.882415771484375,76.5417709350586,153.90365600585938,42.93009948730469,80.82492065429688,91.49744415283203,23.908897399902344,72.42329406738281,198.31346130371094,113.14408874511719,59.88938903808594
2018-01-12,41.43428039550781,71.21083068847656,65.26000213623047,171.88217163085938,93.67328643798828,56.108558654785156,161.7292938232422,115.95909118652344,90.58550262451172,35.968162536621094,77.06452178955078,155.2522430419922,43.72012710571289,82.21971893310547,91.88884735107422,23.895816802978516,71.9895248413086,201.17303466796875,113.38013458251953,60.29589080810547
2018-01-16,41.22369384765625,72.73666381835938,65.24299621582031,171.6044158935547,92.55843353271484,56.11104202270508,161.63870239257812,116.83421325683594,90.263916015625,36.26430130004883,75.56716918945312,155.2139434814453,46.26165771484375,81.07266998291016,92.26463317871094,23.935049057006836,72.47953033447266,204.92127990722656,113.66336059570312,59.91697311401367
